Case Nr,Case Record Type,Subject,Age in Days,Case Origin,Potential Liability,Case Reason,Status,First Contact Resolution,Priority,CSAT
CN-0000001,CSAT,CN-0000001 - Equipment Complexity - Phone,22,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-750
CN-0000002,CSAT,CN-0000002 - Equipment Complexity - Chat,38,Chat,FALSE,Equipment Complexity,Working,FALSE,High,7200
CN-0000003,CSAT,CN-0000003 - Installation - Phone,26,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000004,CSAT,CN-0000004 - Equipment Complexity - Phone,35,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000005,CSAT,CN-0000005 - Installation - Phone,35,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000006,CSAT,CN-0000006 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000007,CSAT,CN-0000007 - Installation - Phone,54,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000008,CSAT,CN-0000008 - Performance - Phone,2,Phone,TRUE,Performance,New,TRUE,Low,-3600
CN-0000009,CSAT,CN-0000009 - Installation - Phone,27,Phone,FALSE,Installation,Closed,FALSE,Low,1500
CN-0000010,CSAT,CN-0000010 - Equipment Complexity - Chat,14,Chat,FALSE,Equipment Complexity,Working,FALSE,Medium,6000
CN-0000011,CSAT,CN-0000011 - Equipment Complexity - Phone,4,Phone,FALSE,Equipment Complexity,New,FALSE,Low,2400
CN-0000012,CSAT,CN-0000012 - Installation - Phone,58,Phone,FALSE,Installation,Working,FALSE,High,900
CN-0000013,CSAT,CN-0000013 - Installation - Phone,20,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000014,CSAT,CN-0000014 - Equipment Complexity - Phone,39,Phone,TRUE,Equipment Complexity,Attention,TRUE,Low,-3600
CN-0000015,CSAT,CN-0000015 - Installation - Phone,14,Phone,FALSE,Installation,Working,TRUE,Low,-500
CN-0000016,CSAT,CN-0000016 - Installation - Phone,55,Phone,FALSE,Installation,Working,FALSE,Medium,600
CN-0000017,CSAT,CN-0000017 - Breakdown - Email,2,Email,TRUE,Breakdown,New,TRUE,Low,-9000
CN-0000018,CSAT,CN-0000018 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,Medium,600
CN-0000019,CSAT,CN-0000019 - Equipment Complexity - Phone,31,Phone,FALSE,Equipment Complexity,Working,TRUE,Low,-800
CN-0000020,CSAT,CN-0000020 - Installation - Chat,30,Chat,FALSE,Installation,Working,FALSE,Low,1200
CN-0000021,CSAT,CN-0000021 - Installation - Phone,35,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000022,CSAT,CN-0000022 - Installation - Phone,34,Phone,TRUE,Installation,Working,FALSE,Medium,600
CN-0000023,CSAT,CN-0000023 - Installation - Email,15,Email,FALSE,Installation,Working,FALSE,Low,1000
CN-0000024,CSAT,CN-0000024 - Installation - Phone,28,Phone,TRUE,Installation,Working,FALSE,High,1125
CN-0000025,CSAT,CN-0000025 - Performance - Phone,8,Phone,FALSE,Performance,New,TRUE,Low,-4800
CN-0000026,CSAT,CN-0000026 - Equipment Complexity - Phone,38,Phone,FALSE,Equipment Complexity,Attention,FALSE,Low,4800
CN-0000027,CSAT,CN-0000027 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000028,CSAT,CN-0000028 - Performance - Phone,19,Phone,TRUE,Performance,Closed,TRUE,High,-13500
CN-0000029,CSAT,CN-0000029 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000030,CSAT,CN-0000030 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000031,CSAT,CN-0000031 - Installation - Chat,40,Chat,TRUE,Installation,Working,TRUE,High,-2700
CN-0000032,CSAT,CN-0000032 - Equipment Complexity - Chat,30,Chat,FALSE,Equipment Complexity,Working,FALSE,High,7200
CN-0000033,CSAT,CN-0000033 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000034,CSAT,CN-0000034 - Installation - Phone,66,Phone,TRUE,Installation,Working,TRUE,Medium,-450
CN-0000035,CSAT,CN-0000035 - Equipment Complexity - Chat,28,Chat,TRUE,Equipment Complexity,Working,TRUE,High,-6750
CN-0000036,CSAT,CN-0000036 - Equipment Complexity - Phone,42,Phone,TRUE,Equipment Complexity,Working,TRUE,High,-1800
CN-0000037,CSAT,CN-0000037 - Installation - Chat,30,Chat,TRUE,Installation,Working,FALSE,Low,900
CN-0000038,CSAT,CN-0000038 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000039,CSAT,CN-0000039 - Equipment Design - Phone,18,Phone,FALSE,Equipment Design,Working,TRUE,Low,-1500
CN-0000040,CSAT,CN-0000040 - Equipment Complexity - Chat,14,Chat,FALSE,Equipment Complexity,Working,FALSE,Low,3000
CN-0000041,CSAT,CN-0000041 - Equipment Complexity - Phone,40,Phone,FALSE,Equipment Complexity,Working,TRUE,Low,-800
CN-0000042,CSAT,CN-0000042 - Equipment Complexity - Phone,27,Phone,FALSE,Equipment Complexity,Working,TRUE,Medium,-2000
CN-0000043,CSAT,CN-0000043 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000044,CSAT,CN-0000044 - Equipment Complexity - Chat,3,Chat,FALSE,Equipment Complexity,Closed,FALSE,Medium,21600
CN-0000045,CSAT,CN-0000045 - Installation - Email,19,Email,FALSE,Installation,Working,FALSE,Low,1000
CN-0000046,CSAT,CN-0000046 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000047,CSAT,CN-0000047 - Equipment Complexity - Email,30,Email,TRUE,Equipment Complexity,Working,TRUE,Low,-1200
CN-0000048,CSAT,CN-0000048 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000049,CSAT,CN-0000049 - Equipment Design - Chat,30,Chat,TRUE,Equipment Design,Working,TRUE,Low,-2700
CN-0000050,CSAT,CN-0000050 - Equipment Complexity - Phone,18,Phone,FALSE,Equipment Complexity,Working,TRUE,Low,-1000
CN-0000051,CSAT,CN-0000051 - Breakdown - Phone,7,Phone,TRUE,Breakdown,New,TRUE,Low,-4500
CN-0000052,CSAT,CN-0000052 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000053,CSAT,CN-0000053 - Equipment Complexity - Chat,49,Chat,FALSE,Equipment Complexity,Working,FALSE,High,7200
CN-0000054,CSAT,CN-0000054 - Equipment Complexity - Phone,29,Phone,FALSE,Equipment Complexity,Working,FALSE,Medium,2000
CN-0000055,CSAT,CN-0000055 - Installation - Chat,65,Chat,TRUE,Installation,New,TRUE,High,-4050
CN-0000056,CSAT,CN-0000056 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000057,CSAT,CN-0000057 - Installation - Phone,21,Phone,FALSE,Installation,Working,FALSE,Medium,1000
